pre_participant_id,Pre_Survey_Pre_Survey_Nr,Pre_Survey_StartDate,Pre_Survey_EndDate,Pre_Survey_Status,Pre_Survey_Progress,Pre_Survey_Duration,Pre_Survey_Finished,Pre_Survey_RecordedDate,Pre_Survey_DistributionChannel,Pre_Survey_UserLanguage,Pre_Survey_Q_RecaptchaScore,Pre_Survey_Q1,Pre_Survey_Q2,Pre_Survey_Q2_TEXT,Pre_Survey_Q3,Pre_Survey_Q4_1,Pre_Survey_Q4_1_TEXT,Pre_Survey_Q4_2,Pre_Survey_Q4_3,Pre_Survey_Q4_3_TEXT,Pre_Survey_Q6,Pre_Survey_Q7,Pre_Survey_Q7_TEXT,Pre_Survey_Q8,Pre_Survey_Q8_score,Pre_Survey_Q9,Pre_Survey_Q9_TEXT,Pre_Survey_Q10,Pre_Survey_Q11,Pre_Survey_Q11_TEXT,Pre_Survey_Q12,Pre_Survey_Q12_TEXT,Pre_Survey_Q13_1,Pre_Survey_Q13_1_score,Pre_Survey_Q13_2,Pre_Survey_Q13_2_score,Pre_Survey_Q13_3,Pre_Survey_Q13_3_score,Pre_Survey_Q13_4,Pre_Survey_Q13_4_score,Pre_Survey_Q13_5,Pre_Survey_Q13_5_score,Pre_Survey_Q13_6,Pre_Survey_Q13_6_score,Pre_Survey_Q14,Pre_Survey_Q14_TEXT,Pre_Survey_Q15,Pre_Survey_Q15_TEXT,Pre_Survey_Q16,Pre_Survey_Q16_score,Pre_Survey_Q17,Pre_Survey_Q17_TEXT,Pre_Survey_Q18,Pre_Survey_Q18_score,Pre_Survey_Q19,Pre_Survey_Q19_TEXT,Pre_Survey_Q20,Pre_Survey_Q20_TEXT,Pre_Survey_Q21_1,Pre_Survey_Q21_1_score,Pre_Survey_Q21_2,Pre_Survey_Q21_2_score,Pre_Survey_Q21_3,Pre_Survey_Q21_3_score,Pre_Survey_Q21_4,Pre_Survey_Q21_4_score,Pre_Survey_Q21_5,Pre_Survey_Q21_5_score,Pre_Survey_Q22,Pre_Survey_Q23,Pre_Survey_Q23_TEXT,Pre_Survey_Q24,Pre_Survey_Q25,Pre_Survey_Q26,Pre_Survey_Q27,Pre_Survey_Q28,Pre_Survey_Q29,Pre_Survey_Q30,finished_clean,followup_opt_in
PRE00042,1,01.03.26 18:29,01.03.26 18:34,IP Address,100,322,True,01.03.26 18:34,anonymous,EN,1,"Yes, I agree to participate","Describing the image verbally (spoken explanation);Using existing images (photos, illustrations, references);Googling",NA,Yes,NA,NA,NA,Writing and editing text;Paraphrasing or rephrasing text;Explaining complex concepts;Brainstorming ideas,NA,1Ð2 years,Daily,NA,NA,NA,ChatGPT (image generation);Other,NA,"Yes, subscription-based",Personal use / hobby;University / studies,NA,Logos / icons / illustrations;Photorealistic images;Scenes / storyboards /scenerios,NA,High priority,6,Moderate priority,5,Essential priority,7,Low priority,2,Neutral,4,Essential priority,7,Finding the right words;Controlling details,NA,"I write them entirely myself;I ask another AI (e.g., ChatGPT) to generate prompts",NA,Neither agree nor disagree,4,Artistic or style references;Lighting / color;Textelements to be displayed on the image,NA,Neither easy nor difficult,4,7-10,NA,As a tool;As a creative partner,NA,Slightly agree,5,Slightly agree,5,Slightly agree,5,Agree,6,Neither agree nor disagree,4,90,Joint prompt writing and iteration,NA,University presentation,University presentation,Realistic picture,Nothing,23,Male,No thanks.,TRUE,FALSE
PRE00052,1,23.02.26 20:16,23.02.26 20:26,IP Address,100,620,True,23.02.26 20:26,anonymous,EN,1,"Yes, I agree to participate","Describing the image verbally (spoken explanation);Using existing images (photos, illustrations, references);Googling",NA,Yes,NA,NA,NA,Writing and editing text;Paraphrasing or rephrasing text;Information search and Q&A;Translation and language support;Decision support / advice,NA,1Ð2 years,Less often,NA,NA,NA,ChatGPT (image generation);Midjourney;DALLáE,NA,No,University / studies,NA,People / characters;Scenes / storyboards /scenerios,NA,Neutral,4,High priority,6,Essential priority,7,High priority,6,Essential priority,7,Essential priority,7,Knowing how to start;Finding the right words;Controlling details;Maintaining consistency across images,NA,"I write them entirely myself;I use templates and adapt them;I ask another AI (e.g., ChatGPT) to generate prompts",NA,Agree,6,Lighting / color;Materials / textures;Textelements to be displayed on the image,NA,Somewhat difficult,5,4-6,NA,As a tool,NA,Strongly agree,7,Slightly agree,5,Neither agree nor disagree,4,Neither agree nor disagree,4,Neither agree nor disagree,4,90,I don't work with others,NA,Studies,Studies. Creating image for presentations or thesis,NA,Nothing,32,Female,No thanks.,TRUE,FALSE
PRE00009,2,05.03.26 23:39,05.03.26 23:44,IP Address,100,276,True,05.03.26 23:44,anonymous,EN,1,"Yes, I agree to participate","Describing the image verbally (spoken explanation);Using existing images (photos, illustrations, references);Googling",NA,Yes,NA,NA,NA,Writing and editing text;Information search and Q&A;Explaining complex concepts,NA,7Ð12 months,Several times per week,NA,NA,NA,ChatGPT (image generation);DALLáE;Adobe Firefly,NA,"Yes, occasionally",Personal use / hobby;Professional work;Creative projects (art/design);Social media content,NA,"Landscapes / environments;Products / mockups;Photorealistic images;Style experiments (e.g., Òin the style ofÉÓ)",NA,High priority,6,Neutral,4,High priority,6,High priority,6,Moderate priority,5,Essential priority,7,Controlling details,NA,I write them entirely myself,NA,Somewhat agree,5,"Artistic or style references;Composition (e.g., perspective, framing);Lighting / color",NA,Very easy,2,4-6,NA,As a tool,NA,Strongly agree,7,Disagree,2,Slightly agree,5,Strongly disagree,1,Agree,6,100,I don't work with others,NA,To create a mock image for work,I needed a mock office plan. It worked very well,Never,Nothing,37,Male,No thanks.,TRUE,FALSE
PRE00176,1,26.02.26 13:51,26.02.26 14:05,IP Address,100,832,True,26.02.26 14:05,anonymous,EN,1,"Yes, I agree to participate","Describing the image verbally (spoken explanation);Using existing images (photos, illustrations, references);Googling;Gesturing or acting things out",NA,Yes,NA,NA,NA,Writing and editing text;Paraphrasing or rephrasing text;Information search and Q&A,NA,1Ð2 years,Several times per week,NA,NA,NA,ChatGPT (image generation),NA,No,Personal use / hobby;University / studies;Professional work,NA,People / characters;Logos / icons / illustrations,NA,Moderate priority,5,Neutral,4,Neutral,4,High priority,6,Neutral,4,Neutral,4,Finding the right words;Controlling details;Unexpected or incorrect interpretations,NA,I write them entirely myself,NA,Agree,6,I rarely specify details,NA,Very difficult,6,2-3,NA,As a creative partner,NA,Agree,6,Strongly agree,7,Agree,6,Strongly disagree,1,Neither agree nor disagree,4,90,I don't work with others,NA,Trends / Bearbeitung von Bilder,Tiktok trend mit Bild von mir und als Kind,Wenn sich das Original zu fest verŠndert (z.B. Gesichter),Das es meistens echt aussieht,29,Female,No thanks.,TRUE,FALSE
PRE00169,2,05.03.26 23:43,05.03.26 23:49,IP Address,100,368,True,05.03.26 23:49,anonymous,EN,1,"Yes, I agree to participate","Describing the image verbally (spoken explanation);Using existing images (photos, illustrations, references);Googling;Gesturing or acting things out",NA,Yes,NA,NA,NA,Writing and editing text,NA,1Ð6 months,Weekly,NA,NA,NA,Other,grok,No,Personal use / hobby,NA,People / characters;Logos / icons / illustrations,NA,Moderate priority,5,High priority,6,High priority,6,High priority,6,High priority,6,High priority,6,Finding the right words;Maintaining consistency across images;Time spent on multiple iterations,NA,I write them entirely myself,NA,Neither agree nor disagree,4,I rarely specify details,NA,Neither easy nor difficult,4,4-6,NA,As a tool,NA,Agree,6,Slightly agree,5,Neither agree nor disagree,4,Neither agree nor disagree,4,Neither agree nor disagree,4,10,I don't work with others,NA,I use it to create memes.,I have never been successful,"I don't know, it's probably my fault for not writing the prompt well and therefore not getting what I want.",Nothing,45,Male,No thanks.,TRUE,FALSE
PRE00109,1,20.03.26 14:12,20.03.26 14:17,IP Address,100,302,True,20.03.26 14:17,anonymous,EN,1,"Yes, I agree to participate","Describing the image verbally (spoken explanation);Writing a detailed description (e.g., notes, text messages)",NA,Yes,NA,NA,NA,Writing and editing text;Paraphrasing or rephrasing text;Information search and Q&A;Summarizing content;Explaining complex concepts;Creative writing or storytelling,NA,More than 2 years,Daily,NA,NA,NA,ChatGPT (image generation);Midjourney;DALLáE;Adobe Firefly;Nano Banana,NA,"Yes, subscription-based",University / studies;Professional work,NA,People / characters;Landscapes / environments;Products / mockups;Logos / icons / illustrations;Photorealistic images,NA,Essential priority,7,Essential priority,7,Essential priority,7,High priority,6,Essential priority,7,Essential priority,7,Unexpected or incorrect interpretations,NA,I write them entirely myself,NA,Somewhat disagree,3,"Artistic or style references;Composition (e.g., perspective, framing);Lighting / color",NA,Very easy,2,1,NA,As a creative partner,NA,Strongly agree,7,Agree,6,Agree,6,Slightly agree,5,Slightly agree,5,50,Alternating prompt creation;Joint discussion of goals and criteria,NA,marketing,product in environment,people in an environment,copyright,47,Male,YES! I want to fill out the second survey and get a chance to win 2 cinema tickets (please write your e-mail in the text box below),TRUE,TRUE
PRE00188,2,06.03.26 00:02,06.03.26 00:09,IP Address,100,423,True,06.03.26 00:09,anonymous,EN,1,"Yes, I agree to participate","Describing the image verbally (spoken explanation);Writing a detailed description (e.g., notes, text messages)",NA,Yes,NA,NA,NA,Writing and editing text;Information search and Q&A;Summarizing content;Explaining complex concepts;Brainstorming ideas,NA,1Ð6 months,Weekly,NA,NA,NA,Nano Banana,NA,No,Personal use / hobby;Creative projects (art/design);Ideation / brainstorming,NA,People / characters;Landscapes / environments;Photorealistic images,NA,Essential priority,7,High priority,6,High priority,6,Somewhat priority,3,Moderate priority,5,Essential priority,7,Controlling details;Maintaining consistency across images;Unexpected or incorrect interpretations,NA,"I write them entirely myself;I ask another AI (e.g., ChatGPT) to generate prompts",NA,Strongly agree,7,"Composition (e.g., perspective, framing);Lighting / color;Camera or photography terms;Materials / textures",NA,Very easy,2,2-3,NA,As a creative partner,NA,Strongly agree,7,Agree,6,Strongly agree,7,Strongly disagree,1,Agree,6,100,I don't work with others,NA,"When thinking about fictional characters, I use GenAI to provide more vivid visualizations","For a story, I wanted to visualize a character looking down onto a cityscape at night, and the AI visualized that very well",Sometimes the prompt is poorly worded and doesn't include enough specificity to match an idea in my head,Societal and economic impact,34,Male,No thanks.,TRUE,FALSE
PRE00027,1,26.03.26 08:06,26.03.26 08:08,IP Address,100,126,True,26.03.26 08:08,anonymous,EN,1,"Yes, I agree to participate","Describing the image verbally (spoken explanation);Writing a detailed description (e.g., notes, text messages)",NA,Yes,NA,NA,NA,Describing the image verbally (spoken explanation);Googling,NA,1Ð2 years,Weekly,NA,NA,NA,ChatGPT (image generation),NA,"Yes, subscription-based",Personal use / hobby;Professional work,NA,Logos / icons / illustrations,NA,Moderate priority,5,Essential priority,7,High priority,6,Essential priority,7,Neutral,4,Somewhat priority,3,Finding the right words;Unexpected or incorrect interpretations,NA,I write them entirely myself,NA,Somewhat agree,5,"Composition (e.g., perspective, framing);I rarely specify details",NA,Somewhat difficult,5,4-6,NA,As a tool,NA,Agree,6,Agree,6,Strongly agree,7,Neither agree nor disagree,4,Slightly agree,5,100,I don't work with others,NA,"I had to make a visual for a slide deck at work, showing cash-flow.",I once asked it to give me a picture of a swiss bank.,"When it gives me wrong text in a picture, based on my original prompt text",data privacy,29,Female,YES! I want to fill out the second survey and get a chance to win 2 cinema tickets (please write your e-mail in the text box below);I'm interested in the study findings (please write your e-mail in the text box below),TRUE,TRUE
PRE00014,2,05.03.26 23:36,05.03.26 23:44,IP Address,100,475,True,05.03.26 23:44,anonymous,EN,1,"Yes, I agree to participate","Describing the image verbally (spoken explanation);Writing a detailed description (e.g., notes, text messages);Gesturing or acting things out",NA,Yes,NA,NA,NA,Writing and editing text;Information search and Q&A;Brainstorming ideas;Translation and language support;Decision support / advice;Creative writing or storytelling,NA,More than 2 years,Monthly,NA,NA,NA,ChatGPT (image generation);Other,Pixai,No,Personal use / hobby;Professional work;Gaming / roleplay / character design,NA,People / characters;Landscapes / environments,NA,Moderate priority,5,Moderate priority,5,Essential priority,7,Neutral,4,Moderate priority,5,High priority,6,Finding the right words;Controlling details;Maintaining consistency across images;Unexpected or incorrect interpretations;Time spent on multiple iterations,NA,I write them entirely myself,NA,Agree,6,"Artistic or style references;Composition (e.g., perspective, framing);Negative prompts (explicitly stating what should not be included)",NA,Somewhat difficult,5,7-10,NA,As a tool,NA,Agree,6,Agree,6,Agree,6,Strongly disagree,1,Slightly disagree,3,90,Joint prompt writing and iteration;Alternating prompt creation;Joint discussion of goals and criteria,NA,I do online roleplaying and use GenAI to create images of my character in various situations or with different looks,"I wanted to generate a black and older version of the character Will Graham from the show Hannibal, I succeeded (I wanted it to be my new roleplaying character's picture)",When I can't manage to generate an image matching my mental image,"Overuse of it everywhere, which is an environmental disaster",37,Male,No thanks.,TRUE,FALSE
PRE00114,2,05.03.26 23:41,05.03.26 23:43,IP Address,100,118,True,05.03.26 23:43,anonymous,EN,1,"Yes, I agree to participate","Describing the image verbally (spoken explanation);Writing a detailed description (e.g., notes, text messages);Googling",NA,No,Writing and editing text;Information search and Q&A;Decision support / advice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
PRE00189,2,05.03.26 23:39,05.03.26 23:45,IP Address,100,354,True,05.03.26 23:45,anonymous,EN,1,"Yes, I agree to participate","Describing the image verbally (spoken explanation);Writing a detailed description (e.g., notes, text messages);Googling",NA,Yes,NA,NA,NA,Information search and Q&A,NA,More than 2 years,"I no longer use it. If so, why?",Used Dalle years ago but not really my thing.,NA,NA,DALLáE,NA,No,Personal use / hobby;Gaming / roleplay / character design,NA,Others (please describe shortly),A mixture of real people and scenarios they get up to.,Not a priority,1,Essential priority,7,Moderate priority,5,High priority,6,High priority,6,Essential priority,7,Knowing how to start;Finding the right words;Controlling details;Maintaining consistency across images;Unexpected or incorrect interpretations,NA,"I ask another AI (e.g., ChatGPT) to generate prompts",NA,Neither agree nor disagree,4,I rarely specify details,NA,Very difficult,6,More than 10,NA,As a tool,NA,Slightly agree,5,Strongly agree,7,Slightly agree,5,Neither agree nor disagree,4,Strongly disagree,1,100,I don't work with others,NA,Not used it in years. I enjoy other people's outputs.,"Never, always incorrect in one form or another",Disappointed.,Used in the wrong way such as illegal pornography.,36,Male,No thanks.,TRUE,FALSE
PRE00161,1,03.03.26 15:59,03.03.26 16:12,IP Address,100,792,True,03.03.26 16:12,anonymous,EN,1,"Yes, I agree to participate","Describing the image verbally (spoken explanation);Writing a detailed description (e.g., notes, text messages);Using existing images (photos, illustrations, references);Creating diagrams or schematics",NA,Yes,NA,NA,NA,Writing and editing text;Information search and Q&A;Summarizing content;Translation and language support;Programming help (generation or explanation);Other (please explain shortly),"automation of repetitive tasks (e.g. automated lead follow ups based on trigger events), meeting transcription (voice to text)",1Ð2 years,Less often,NA,NA,NA,ChatGPT (image generation);DALLáE;Nano Banana,NA,"Yes, subscription-based",Personal use / hobby;Professional work,NA,People / characters;Products / mockups;Logos / icons / illustrations,NA,Essential priority,7,Neutral,4,Essential priority,7,Essential priority,7,Low priority,2,Essential priority,7,Maintaining consistency across images;Time spent on multiple iterations,NA,A combination of the above,NA,Strongly agree,7,"Artistic or style references;Composition (e.g., perspective, framing);Negative prompts (explicitly stating what should not be included)",NA,Somewhat easy,3,4-6,NA,As a tool,NA,Agree,6,Agree,6,Disagree,2,Slightly disagree,3,Agree,6,100,I don't work with others,NA,Internal or External Workshop prep,During internal workshop to create a Scheme of a workflow based on my personal notes,Self Portraits if you do not provide high quality images as input,Nothing,30,Male,I'm interested in the study findings (please write your e-mail in the text box below),TRUE,FALSE
PRE00063,1,03.03.26 07:02,03.03.26 07:12,IP Address,100,648,True,03.03.26 07:12,anonymous,EN,1,"Yes, I agree to participate","Describing the image verbally (spoken explanation);Writing a detailed description (e.g., notes, text messages);Using existing images (photos, illustrations, references);Gesturing or acting things out",NA,Yes,NA,NA,NA,Writing and editing text;Paraphrasing or rephrasing text;Information search and Q&A;Summarizing content;Explaining complex concepts;Brainstorming ideas;Decision support / advice,NA,More than 2 years,Monthly,NA,NA,NA,ChatGPT (image generation),NA,"Yes, occasionally",Personal use / hobby;University / studies;Professional work;Ideation / brainstorming,NA,"People / characters;Style experiments (e.g., Òin the style ofÉÓ);Scenes / storyboards /scenerios",NA,Not a priority,1,High priority,6,High priority,6,Moderate priority,5,High priority,6,Essential priority,7,Controlling details;Maintaining consistency across images;Unexpected or incorrect interpretations;Time spent on multiple iterations,NA,I write them entirely myself,NA,Strongly agree,7,Artistic or style references;Textelements to be displayed on the image,NA,Extremely easy,1,2-3,NA,As a tool,NA,Agree,6,Agree,6,Slightly agree,5,Neither agree nor disagree,4,Slightly agree,5,100,I don't work with others,NA,Gifts,I needed a funny picture for my colleagues as a goodbye gift.,When it makes weird stuff up.,Data security if you use a picture of your own as a template,25,Female,YES! I want to fill out the second survey and get a chance to win 2 cinema tickets (please write your e-mail in the text box below),TRUE,TRUE
PRE00181,2,05.03.26 23:35,05.03.26 23:46,IP Address,100,652,True,05.03.26 23:46,anonymous,EN,1,"Yes, I agree to participate","Describing the image verbally (spoken explanation);Writing a detailed description (e.g., notes, text messages);Using existing images (photos, illustrations, references);Gesturing or acting things out;Using physical objects or models",NA,Yes,NA,NA,NA,Writing and editing text;Information search and Q&A;Translation and language support;Decision support / advice;Creative writing or storytelling,NA,1Ð2 years,Daily,NA,NA,NA,ChatGPT (image generation);DALLáE;Other,grok,"Yes, occasionally",Personal use / hobby;Professional work;Social media content;Ideation / brainstorming,NA,People / characters;Logos / icons / illustrations;Photorealistic images;Scenes / storyboards /scenerios,NA,High priority,6,Essential priority,7,Moderate priority,5,High priority,6,High priority,6,Essential priority,7,Finding the right words;Maintaining consistency across images;Time spent on multiple iterations,NA,I write them entirely myself;I use templates and adapt them;I use prompts from online communities,NA,Somewhat agree,5,"Artistic or style references;Composition (e.g., perspective, framing);Materials / textures;Textelements to be displayed on the image",NA,Somewhat easy,3,2-3,NA,As a creative partner,NA,Strongly agree,7,Agree,6,Strongly agree,7,Strongly disagree,1,Agree,6,80,Joint discussion of goals and criteria,NA,"To create a logo for a new project, for example, I will easily generate it using AI.","I needed to create a thumbnail for a video I wanted to publish, and thanks to AI I was able to generate views because the thumbnail was attractive.",Sometimes the AI __refuses to generate certain scenarios or does not correctly understand the main idea.,"The fact that we can take a picture of someone and transform it however we want, in any way we want",34,Male,No thanks.,TRUE,FALSE
PRE00007,2,05.03.26 23:38,05.03.26 23:46,IP Address,100,504,True,05.03.26 23:46,anonymous,EN,1,"Yes, I agree to participate","Describing the image verbally (spoken explanation);Writing a detailed description (e.g., notes, text messages);Using existing images (photos, illustrations, references);Googling",NA,Yes,NA,NA,NA,Writing and editing text;Information search and Q&A;Summarizing content;Explaining complex concepts;Brainstorming ideas;Translation and language support;Decision support / advice,NA,More than 2 years,Weekly,NA,NA,NA,ChatGPT (image generation);Midjourney;Nano Banana,NA,No,Personal use / hobby;Ideation / brainstorming,NA,People / characters;Photorealistic images,NA,High priority,6,Moderate priority,5,Essential priority,7,Somewhat priority,3,Neutral,4,High priority,6,Finding the right words;Unexpected or incorrect interpretations;Time spent on multiple iterations,NA,I write them entirely myself,NA,Somewhat agree,5,"Composition (e.g., perspective, framing);Lighting / color;Negative prompts (explicitly stating what should not be included)",NA,Somewhat easy,3,4-6,NA,As a tool;As a creative partner,NA,Slightly agree,5,Slightly agree,5,Agree,6,Disagree,2,Neither agree nor disagree,4,100,I don't work with others,NA,I want to imagine some person in a specific environment - like making a photo for them,"Usually, I get somewhat satisfactory results but not a perfect match. Still, it is already ok for the intention of pushing my creativity in the right direction","The less common idea I have - the worse the results, usually it is not a complete fail but the more ""artsy"" I get the more things feel off.","I find heavy censoring tools very restrictive, even if I try making really harmless images. Avoiding triggers and restrictions is hard while still maintaining the idea.",27,Male,No thanks.,TRUE,FALSE
PRE00172,1,03.03.26 13:51,03.03.26 14:01,IP Address,100,594,True,03.03.26 14:01,anonymous,EN,1,"Yes, I agree to participate","Describing the image verbally (spoken explanation);Writing a detailed description (e.g., notes, text messages);Using existing images (photos, illustrations, references);Googling;Gesturing or acting things out",NA,Yes,NA,NA,NA,Writing and editing text;Summarizing content;Explaining complex concepts;Brainstorming ideas;Translation and language support,NA,1Ð6 months,Monthly,NA,NA,NA,ChatGPT (image generation),NA,"Yes, occasionally",University / studies;Professional work,NA,People / characters;Scenes / storyboards /scenerios,NA,Neutral,4,High priority,6,Moderate priority,5,Neutral,4,Essential priority,7,Somewhat priority,3,Controlling details,NA,I write them entirely myself,NA,Neither agree nor disagree,4,Materials / textures;Textelements to be displayed on the image;Negative prompts (explicitly stating what should not be included),NA,Somewhat difficult,5,4-6,NA,As a tool,NA,Agree,6,Strongly agree,7,Agree,6,Slightly disagree,3,Neither agree nor disagree,4,80,Alternating prompt creation,NA,Visualization in addition to a text/explanation in business,"We have a Digital Roadmap in my company. We generate an AI image to visualize our ""digital journey""",NA,Nothing,30,Male,No thanks.,TRUE,FALSE
PRE00033,2,05.03.26 23:35,05.03.26 23:50,IP Address,100,938,True,05.03.26 23:50,anonymous,EN,1,"Yes, I agree to participate","Describing the image verbally (spoken explanation);Writing a detailed description (e.g., notes, text messages);Using existing images (photos, illustrations, references);Googling;Gesturing or acting things out;Using physical objects or models",NA,Yes,NA,NA,NA,Brainstorming ideas;Translation and language support;Programming help (generation or explanation);Decision support / advice;Creative writing or storytelling,NA,1Ð6 months,Weekly,NA,NA,NA,ChatGPT (image generation);DALLáE,NA,"Yes, occasionally",Personal use / hobby;University / studies;Social media content,NA,People / characters;Landscapes / environments;Logos / icons / illustrations;Scenes / storyboards /scenerios,NA,Moderate priority,5,Moderate priority,5,High priority,6,Essential priority,7,High priority,6,High priority,6,Finding the right words;Controlling details;Maintaining consistency across images;Time spent on multiple iterations,NA,A combination of the above,NA,Somewhat agree,5,"Artistic or style references;Composition (e.g., perspective, framing);Lighting / color;Materials / textures",NA,Somewhat difficult,5,7-10,NA,As a creative partner,NA,Slightly agree,5,Agree,6,Neither agree nor disagree,4,Neither agree nor disagree,4,Slightly disagree,3,0,I don't work with others,NA,For creating my vision board every year.,I asked it to generate a picture of a woman in Airport.,When I ask it to generate images with details. Sometimes it generates the same image even if I asked for another prompt.,It really needs to focus on the details said from the beginning or ask questions to be more accurate. This sometimes happen by chatgbt but not always.,30,Female,No thanks.,TRUE,FALSE
PRE00118,1,13.03.26 17:53,13.03.26 17:53,IP Address,100,19,True,13.03.26 17:53,anonymous,EN,1,"Yes, I agree to participate",Drawing or sketching by hand (on paper or digitally),NA,No,Writing and editing text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
PRE00001,1,31.03.26 05:11,31.03.26 05:16,IP Address,100,252,True,31.03.26 05:16,anonymous,EN,1,"Yes, I agree to participate",Drawing or sketching by hand (on paper or digitally),NA,No,Writing and editing text,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
PRE00074,1,20.03.26 14:12,20.03.26 14:14,IP Address,100,116,True,20.03.26 14:14,anonymous,EN,1,"Yes, I agree to participate",Drawing or sketching by hand (on paper or digitally),NA,No,Summarizing content,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
PRE00159,1,21.03.26 18:47,21.03.26 18:49,IP Address,100,82,True,21.03.26 18:49,anonymous,EN,1,"Yes, I agree to participate",Drawing or sketching by hand (on paper or digitally),NA,No,Programming help (generation or explanation),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
PRE00051,1,28.02.26 08:28,04.03.26 07:28,IP Address,100,341980,True,04.03.26 07:28,anonymous,EN,1,"Yes, I agree to participate",Drawing or sketching by hand (on paper or digitally),NA,Yes,NA,NA,NA,Writing and editing text;Paraphrasing or rephrasing text;Information search and Q&A;Summarizing content;Explaining complex concepts;Brainstorming ideas;Translation and language support;Programming help (generation or explanation);Decision support / advice;Creative writing or storytelling,NA,1Ð2 years,Daily,NA,NA,NA,ChatGPT (image generation);DALLáE;Leonardo / Playground / similar tools;Nano Banana,NA,"Yes, occasionally",Personal use / hobby;University / studies;Professional work;Creative projects (art/design);Social media content,NA,Landscapes / environments;Products / mockups;Logos / icons / illustrations,NA,High priority,6,Moderate priority,5,High priority,6,High priority,6,High priority,6,High priority,6,Unexpected or incorrect interpretations,NA,I write them entirely myself,NA,Somewhat agree,5,Artistic or style references,NA,Somewhat easy,3,2-3,NA,As a tool,NA,Strongly agree,7,Strongly agree,7,Strongly agree,7,Slightly agree,5,Neither agree nor disagree,4,50,Joint prompt writing and iteration;Alternating prompt creation,NA,An idea of a marketing campaign,"I wanted a mock up of a fridge for my tibits campaign, it did it quite well.",When IÕm not specific enough,Sometimes the amount of times itÕs Ò confused Ò when not using a premium plan,27,Female,YES! I want to fill out the second survey and get a chance to win 2 cinema tickets (please write your e-mail in the text box below),TRUE,TRUE
PRE00091,1,03.03.26 10:35,03.03.26 10:42,IP Address,100,433,True,03.03.26 10:42,anonymous,EN,1,"Yes, I agree to participate",Drawing or sketching by hand (on paper or digitally),NA,Yes,NA,NA,NA,Writing and editing text;Paraphrasing or rephrasing text;Information search and Q&A;Summarizing content;Explaining complex concepts;Brainstorming ideas;Translation and language support;Programming help (generation or explanation);Decision support / advice;Creative writing or storytelling,NA,7Ð12 months,Daily,NA,NA,NA,ChatGPT (image generation);Nano Banana,NA,"Yes, occasionally",Personal use / hobby;University / studies;Professional work;Creative projects (art/design);Social media content,NA,"Products / mockups;Logos / icons / illustrations;Photorealistic images;Style experiments (e.g., Òin the style ofÉÓ)",NA,High priority,6,High priority,6,High priority,6,High priority,6,High priority,6,High priority,6,Finding the right words;Controlling details,NA,I write them entirely myself,NA,Agree,6,"Composition (e.g., perspective, framing);Lighting / color;Camera or photography terms;Materials / textures;Textelements to be displayed on the image",NA,Somewhat difficult,5,4-6,NA,As a tool;As a creative partner,NA,Agree,6,Agree,6,Agree,6,Agree,6,Slightly agree,5,100,I don't work with others,NA,Logo creation or Technical model of a process,"Not very often, but it gives a good base idea on where it could go",When trying to fix something over multiple Iterations,"To slow, hard to fix one specific detail on the image",30,Male,No thanks.,TRUE,FALSE
