main_participant_id;R1_Text;R1_Function;R1_Level;R1_Vibe;R2_Text;R2_Function;R2_Level;R2_Vibe;R3_Text;R3_Function;R3_Level;R3_Vibe;;;;;;;;;;;;;;;;;;;;;;
MAIN00045;"create an image for this description: When I think of ""Glacier,"" I picture a massive river of blue-white ice stretching between dark, rocky mountain ridges under a pale overcast sky, its surface carved with deep crevasses that reveal layers of compressed ice in shades of turquoise and cobalt. At its base, meltwater pools into a milky, sediment-laden lake with a faint teal hue, while chunks of ice calve off the glacier's jagged front edge. The surrounding landscape is stark and treeless - just raw stone, snow patches, and cold mist hanging in the valley.";F1;L3;No Vibe;Create a highly detailed, photorealistic image of a vast glacier flowing like a frozen river through a rugged mountain valley. The glacier is composed of dense blue-white ice, with dramatic deep crevasses cutting through its surface, revealing layered tones of turquoise, cobalt, and translucent ice. It stretches between steep, dark, rocky ridges that rise sharply on both sides. Above, a pale, overcast sky diffuses soft, cold light across the scene, enhancing the icy textures. At the glacier-s jagged terminus, chunks of ice are actively calving off into a milky, sediment-rich glacial lake below, tinted with a subtle teal hue. The surrounding environment is stark and desolate-no vegetation, only raw stone, scattered snow patches, and fine mist drifting through the valley. The atmosphere should feel cold, remote, and awe-inspiring, with a sense of scale and natural power. Style: ultra-realistic, cinematic lighting, high resolution, sharp textures, wide-angle composition.;F3;L3;Vibe;"Photorealistic wide-angle view of a _____ glacier flowing through a steep, rocky mountain valley. Blue-white ice with deep crevasses exposing layered turquoise and cobalt tones. Jagged glacier terminus calving into a milky teal glacial lake. Dark, barren ridges on both sides; no vegetation. Pale overcast sky with cold, diffused light. Thin mist drifting across raw stone and snow patches. Style: ultra-realistic, cinematic, high detail, sharp textures, natural colors, dramatic scale.";F3;L3;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00011;I need you to generate my mental image of Anger which is a blazing fire in multiple colors (red, orange and yellow). It is surronded by stones to keep it contained. Otherwise, there is not much around the fire;F1;L1;No Vibe;The fire needs to look more hostile, more like there could be danger with this fire. It looks more like a campfire at the moment and it needs to look more dangerous;F2;L2;Vibe;The fire needs to look more dangerous. the image needs to represent a fire that is no longer safe to be around and that the people who are in the immediate vicinity or in the surrounding area need to evacuate right away so that the fire doesn't get to them;F2;L2;Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00018;gerate an image of a microscope: white background, black knobs, black eye piece and grey objective piece;F1;L1;No Vibe;now mirror this image;F2;L1;No Vibe;make it not so curvy;F2;L1;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00023;create me a picture with a dark grren brown lake and the sun is shining into it;F1;L1;No Vibe;it should be more trees and the perspective should be from outside so that you can see grass and stones;F2;L1;No Vibe;it should be a swimlake so that people can swim in there. It looks like a hidden lake;F2;L1;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00003;Could you please create an image for me? It should show a mango margarita in a glass on a wooden table in a restaurant.;F1;L1;No Vibe;"Please remove the mango pieces from the margarita and the lime wedge from the rim of the glass. Also, don-t present the glass as a goblet; make it slightly flatter.";F2;L2;No Vibe;Please serve the margarita a bit more liquid, not like a slushy.;F2;L1;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00021;Creat a normal house close to the emoji of a house with red rooftop and not a flat rooftop. Light colours and a red wooden door;F1;L1;No Vibe;This has way too many details. Make it simpler;F2;L1;No Vibe;Even simpler;F2;L1;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00030;"Create an image depicting my description of the word ""Justice"". Show me a typical courtroom with dark brown benches. Add a jury consisting of two lines of each 10 people. the Jury has man and women with different ages and ethniticities. The male judge sits at the front, elevated, in the center and wears a black robe and is holding a small dark wooden hammer (gavel). The lawyer sitting on the left side is a man wearing a dark suit and his client is a woman with black hair and wears a purple silky blouse. The lawyer on the right side is a woman. She wears an elegant simple dark suite. Her male client wears a dark gray suit. There are a few spectators sitting across the benches. The entrance is guarded by two male police man in black uniforms. The perspective of the picture is from the entrance looking at the judge, meaning that we cannot see more faces other than the one from the judge and the jury";F1;L3;No Vibe;Change the picture using the following instructions. The jury should sit on the right side facing the left wall. One row behind the other and each row has 10 people. The row in the back sits slightly elevated. The female lawyer on the right, is prettier and has longer brown hair with waves. The lawyer to the left is younger. The benches are less bulky. Zoom out to show the whole room;F2;L2;No Vibe;1. the police officers should remain in the same position as in the first generated picture 2. the jury consists of two rows of each 10 person. The first row is located in front of the second jury row and sits elevated. 3. The lawyer on the right side is thiner and younger looking 4. dont add spectators that look like the client on the left;F2;L3;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00002;Create a picture, which i created in my mind. It's a white room with no walls. The room has no start and no end. The room feels warm and calm. There are people with me and they are talking with me.;F1;L1;Vibe;Create a surreal scene of an infinite white room with no walls, no corners, and no visible boundaries. The space stretches endlessly in all directions and is filled with soft, warm light that creates a calm and peaceful atmosphere. A few people stand with me in this limitless space, casually talking and interacting in a relaxed and friendly way. The environment is minimalistic, dreamlike, and tranquil, with only people, light, and the feeling of an endless, serene space.;F3;L2;Vibe;Create a surreal scene of an endless white expanse that feels like a room but has no walls, edges, ceiling, or floor. The space fades smoothly into infinity in every direction, with no visible boundaries or horizon. Everything is illuminated by soft, warm, diffused light that creates a calm and peaceful atmosphere. A few people are present with me in this limitless space, standing close and talking naturally. The figures appear small compared to the vast emptiness around them, emphasizing the feeling of infinite space. The scene is minimal, quiet, dreamlike, and serene, with nothing but people, light, and the sense of boundless infinity.;F3;L3;Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00031;Okay letsgo - generate an image from my perspective (my eyes) : Costa Rica, it's dark, at a beach party. I'm on some shroomies vibing to the music. colours purple ish. I can't see the dj, just people dancing below me. I'm only a tiny bit higher standing on an elevation. there's some costa rica type triangular sheet things to set the stage next to the dj with some drawings on it, nothing concrete. palmtrees all around and especially behind the dj. remember it's rather dark but. it's a warm vibe, lots of love, calm and care.;F1;L3;Vibe;okay, less people. It's mellow, not crazy. The triangle things are kind of floating - not on the gound & they're black and white, no colours. put the persepective a bit more to the left, i was not center. letsgo a bit warmer lights, also on the people.;F2;L1;Vibe;okay i was looking slightly but just slightly down on the dj stage. closer than this. less black on the triangles and thes were much simpler with bamboo.;F2;L1;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00007;Create an image of a wig. It has straight waist length hair. no bangs, black roots with spicy red ends. it should be a nice balayage. the wig is on a mannequine with no face. the background is white;F1;L2;No Vibe;"change the vibe of the image for it to be more ""real"" the lightening is natural, the gair more natural and mannequine mor lively";F2;L1;No Vibe;make the arms of the mannequine more realistic, right now it looks like it was cut of;F2;L1;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
MAIN00009;"""A cinematic, ethereal representation of Justice. A central, towering figure of light and shadow, wearing flowing translucent robes. Instead of a blindfold, her eyes glow with a soft, neutral gold light. In one hand, she holds a massive, ancient scale made of stardust where a heavy iron chain is perfectly balanced against a single glowing feather. In the other hand, a sword made of clear crystal rests point-down on a marble floor. The background is a vast, swirling nebula of deep blues and vibrant ambers, symbolizing order emerging from chaos.""";F1;L2;Vibe;Do not create the galaxy sky behind the picture;F2;L1;No Vibe;Create the picture with the sword held upwards and the sword not glowing;F2;L1;No Vibe;;;;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;#BEZUG!;#BEZUG!;#BEZUG!;;;;;;;
